Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00201,,,,,,060525,,Paid,4-PC set,,12m,set,3.87,8,2.00,58.00,,,,,500.00,50.00,50.00,,345.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Disney 3-PC set,,0-12m,set,2.49,59,4.00,58.00,,,,,500.00,100.00,100.00,,175.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Kotton Kandy 3PC- 4PC set,,0-9m,set,2.35,580,12.00,58.00,,,,,"5,900.00","1,000.00","1,000.00",,175.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Zippered Frogsuit,,0-9m,pc,1.58,1530,29.66,60.00,,,,,"7,868.50","1,513.17","1,513.17",,129.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Ruffled Sleeveless Onesie,,0-9m,pc,0.73,1437,11.14,60.00,,,,,"2,956.09",568.48,568.48,,64.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Rompers,,2m-4T,pc,1.66,57,0.66,60.00,,,,,175.88,33.82,33.82,,145.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Jumper,,2m-4T,pc,1.10,44,0.34,60.00,,,,,90.51,17.41,17.41,,105.00,,,,,,
,,,,,,060725,,Paid,H&M Organic Polo Shirts,,0-4T,pc,1.10,137,1.59,60.00,,,,,422.74,81.30,81.30,,115.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Polo Set,,1m-4T,set,2.62,157,3.04,60.00,,,,,807.42,155.27,155.27,,225.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Set,,1m-4T,set,2.62,132,2.56,60.00,,,,,678.85,130.55,130.55,,215.00,,,,,,
